Frequency (Hz),Resistance (ohms),Reactance (ohms)
18000.0,403.171199248778,-12063.505245232933
18010.0125,402.70829933561663,-12054.84857585066
18020.025,403.1448705324879,-12056.614673699549
18030.0375,401.482688080653,-12042.109446377026
18040.05,398.21498931783935,-12036.160418292418
18050.0625,401.60944437247065,-12031.576168582382
18060.075,400.6862313171061,-12026.226452812749
18070.0875,397.84339992587,-12016.15409157413
18080.1,395.6649090580116,-12011.527794676462
18090.1125,398.2771066747516,-11998.538162959554
18100.125,398.49970849560816,-11995.698627063652
18110.1375,398.9321729753928,-11989.394632262738
18120.15,404.3319101630426,-11983.8061050721
18130.1625,399.2622013398965,-11978.476072547031
18140.175,395.5526330942904,-11965.53071572592
18150.1875,397.25419929209687,-11961.581175255871
18160.2,396.8107359769177,-11959.053867955026
18170.2125,395.5719535047263,-11948.9010604847
18180.225,401.0773866785993,-11942.847010763076
18190.2375,398.3214263810476,-11932.627753829764
18200.25,395.1199467325951,-11932.25454945373
18210.2625,392.2928867534767,-11923.79934604628
18220.275,397.2744350858308,-11918.171628472552
18230.2875,394.05265989725655,-11913.526018609444
18240.3,398.6253832740173,-11907.88490357103
18250.3125,394.9491068290474,-11902.504323841122
18260.325,398.10995089323535,-11895.305064047512
18270.3375,394.2034215794167,-11889.58080122026
18280.35,395.7639109985069,-11876.950971607112
18290.3625,393.09103392589367,-11871.702268817782
18300.375,394.9552511973736,-11863.633307273643
18310.3875,396.07689422357856,-11862.353138098057
18320.4,391.6993416837783,-11855.73007847524
18330.4125,396.8248423048718,-11842.094141990574
18340.425,393.8616837715935,-11841.744542614497
18350.4375,395.3501667607711,-11834.460905251188
18360.45,394.9154959365225,-11828.179092853245
18370.4625,384.39147658026405,-11819.75382754498
18380.475,392.6351744518759,-11818.570168523942
18390.4875,393.9327672915412,-11805.919312721946
18400.5,389.24383391891,-11806.251947864495
18410.5125,391.8764542526797,-11793.375965252111
18420.525,391.3167620132495,-11798.915946309424
18430.5375,388.4744115785236,-11783.714557107958
18440.55,390.38326079520056,-11777.72456511054
18450.5625,389.4662801375545,-11767.859310224238
18460.575,386.1395834299936,-11765.503953666108
18470.5875,386.5387546821808,-11753.692459810443
18480.6,395.7726961967062,-11756.15942521006
18490.6125,391.9011144204623,-11744.54808722279
18500.625,384.6697115579109,-11740.384981369372
18510.6375,387.3970485601797,-11730.285749929031
18520.65,386.7051462172772,-11721.215075922342
18530.6625,388.6565529423274,-11721.280879163322
18540.675,388.77034233188107,-11713.695928061945
18550.6875,387.7564346114887,-11709.070016939242
18560.7,385.2009889537843,-11703.533645355026
18570.7125,385.67353549090507,-11696.957743503215
18580.725,388.26465837435774,-11686.810255572413
18590.7375,385.9877358500537,-11684.256498692726
18600.75,386.0950984599541,-11677.934971867257
18610.7625,386.7644584245085,-11673.287775594616
18620.775,382.3048467145162,-11662.291642647991
18630.7875,384.3797163932336,-11656.493365073606
18640.8,385.4743264703007,-11652.786327491482
18650.8125,387.3512334462432,-11647.941675403845
18660.825,382.5931128101433,-11636.82675906767
18670.8375,384.8662267536132,-11632.21757504266
18680.85,381.8240187329472,-11629.99095659236
18690.8625,384.8854001592387,-11618.73520607846
18700.875,381.0293422106489,-11613.869056746613
18710.8875,377.7007119722323,-11606.186716660744
18720.9,379.25981609294666,-11605.489061825956
18730.9125,386.1962442371473,-11597.016989967236
18740.925,382.6687643185985,-11589.032268155664
18750.9375,380.1279843210761,-11585.30828409705
18760.95,382.4455286007285,-11579.481601361647
18770.9625,380.29330780726895,-11571.7446129918
18780.975,380.76200784480193,-11565.13436246434
18790.9875,384.70724191717295,-11560.546379145788
18801.0,382.1325075542845,-11554.001232023891
18811.0125,381.0398973926565,-11547.755386565834
18821.025,381.98238563764033,-11542.111100458296
18831.0375,382.0304140571278,-11532.954839414371
18841.05,380.7332383701904,-11529.744092760911
18851.0625,381.0273099740109,-11518.046047084566
18861.075,379.1740780322672,-11514.89495264272
18871.0875,382.6143206635948,-11511.048553608643
18881.1,378.0687346977498,-11501.659571779634
18891.1125,378.5307433805127,-11497.696457203465
18901.125,377.3513365588212,-11489.86273450922
18911.1375,377.59237603961526,-11485.578519183571
18921.15,379.7776736465892,-11478.42851950836
18931.1625,377.2297035849135,-11477.464709737524
18941.175,378.2737674062996,-11469.92173984662
18951.1875,381.3088062781928,-11461.71489484937
