Frequency (Hz),Impedance (ohms),Phase (Radians),Temperature (C),Humidity (%)
18000.0,317.2225443370135,-12033.705738878503,0,0
18010.0125,320.2693475333178,-12024.921787954856,0,0
18020.025,308.8038412524052,-12012.10462639583,0,0
18030.0375,317.33696549831825,-11995.328123335434,0,0
18040.05,330.3970027207368,-11976.763969166623,0,0
18050.0625,351.8527324591408,-11975.427423349372,0,0
18060.075,345.3689174133787,-11991.234648377416,0,0
18070.0875,340.69954154191316,-11996.763466602088,0,0
18080.1,324.972678186139,-11965.466135799652,0,0
18090.1125,322.8240270148672,-11963.239658770843,0,0
18100.125,347.8393983371071,-11970.209802549598,0,0
18110.1375,336.77641167398576,-11983.671223031812,0,0
18120.15,326.3366157234641,-11916.883657496359,0,0
18130.1625,348.8115467631131,-11942.360253385745,0,0
18140.175,305.7970143178659,-11944.6987957554,0,0
18150.1875,345.91242114043644,-11923.240613035918,0,0
18160.2,319.9822214313498,-11933.198828288654,0,0
18170.2125,333.28683709801305,-11909.669635097496,0,0
18180.225,326.022603342847,-11926.673912317892,0,0
18190.2375,329.5338692984707,-11894.954047295812,0,0
18200.25,304.43371430552367,-11910.469302177387,0,0
18210.2625,338.028325609619,-11900.875696011839,0,0
18220.275,320.9525646043989,-11865.811927393337,0,0
18230.2875,310.49068293224593,-11884.185387112115,0,0
18240.3,339.3100954704586,-11885.536978998392,0,0
18250.3125,337.17964579787406,-11864.350860832797,0,0
18260.325,326.64555356963234,-11853.636968732446,0,0
18270.3375,317.6039557171122,-11868.84338378196,0,0
18280.35,332.1267565617864,-11861.420836025745,0,0
18290.3625,325.12311540900254,-11844.19689493287,0,0
18300.375,345.0134166071662,-11821.876725132546,0,0
18310.3875,348.37315605470263,-11819.171859929558,0,0
18320.4,327.1115675098,-11805.036470540466,0,0
18330.4125,332.88994480918547,-11804.983904795172,0,0
18340.425,331.71817797188027,-11804.36446880125,0,0
18350.4375,337.31321182001886,-11793.676064149542,0,0
18360.45,325.9019718153228,-11797.91028001678,0,0
18370.4625,329.6406358451101,-11783.382323523103,0,0
18380.475,342.5154206593205,-11778.5797546186,0,0
18390.4875,325.85700357735175,-11778.528845635623,0,0
18400.5,311.91335397536363,-11776.656142726139,0,0
18410.5125,323.9581892596589,-11758.685399146385,0,0
18420.525,325.5657964497128,-11754.488518556,0,0
18430.5375,326.84029717073093,-11754.65172640738,0,0
18440.55,319.9113685882734,-11730.437524705498,0,0
18450.5625,326.6807368527894,-11748.00471531667,0,0
18460.575,329.55680062055353,-11724.803713900832,0,0
18470.5875,319.42404296606117,-11732.594116864362,0,0
18480.6,339.1341972185574,-11712.20342544198,0,0
18490.6125,314.50695939166866,-11710.380892034733,0,0
18500.625,327.20327984990183,-11706.184612896075,0,0
18510.6375,320.80140829824626,-11700.60637961667,0,0
18520.65,318.8751103852017,-11693.61754715878,0,0
18530.6625,329.913146262385,-11685.766740537092,0,0
18540.675,313.5147380898925,-11672.002489179707,0,0
18550.6875,324.4943811812425,-11686.94780325322,0,0
18560.7,328.744262049552,-11677.03761274639,0,0
18570.7125,329.0022069824775,-11660.152381155867,0,0
18580.725,319.6182222629046,-11653.589534372899,0,0
18590.7375,322.4257462471555,-11648.43221153952,0,0
18600.75,329.28960881971886,-11640.054440392318,0,0
18610.7625,318.59779666232754,-11636.711212652024,0,0
18620.775,315.7594822839186,-11628.865893304855,0,0
18630.7875,316.8780238375688,-11628.846922864459,0,0
18640.8,319.55888006196693,-11628.732202082892,0,0
18650.8125,316.15645743892543,-11626.876089573112,0,0
18660.825,312.6014317221637,-11603.635987817535,0,0
18670.8375,313.88495776712574,-11593.866225905842,0,0
18680.85,312.6900291976812,-11592.234512101571,0,0
18690.8625,311.573351044176,-11595.32654614695,0,0
18700.875,318.3595419268276,-11589.110443669168,0,0
18710.8875,307.8397511405165,-11572.196833550255,0,0
18720.9,317.63683550058005,-11563.227104571815,0,0
18730.9125,322.6612042660596,-11556.583578336657,0,0
18740.925,338.1189524595664,-11556.394627612766,0,0
18750.9375,311.99707595011415,-11562.313364076032,0,0
18760.95,315.48756972683344,-11534.982670852074,0,0
18770.9625,322.66054061362934,-11542.495341445867,0,0
18780.975,328.01369668136823,-11540.379840332453,0,0
18790.9875,307.4266575919267,-11524.650966846571,0,0
