Frequency (Hz),Resistance (ohms),Reactance (ohms)
18000.0,93.32598944596184,-3683.9681625776457
18010.0125,93.52645935362273,-3682.1592741158192
18020.025,93.36650014669446,-3679.871980586443
18030.0375,92.99418197821304,-3678.0048283625088
18040.05,93.3709309317026,-3675.511546676122
18050.0625,93.32361834416729,-3673.630176864128
18060.075,95.71356873062776,-3673.2962237999336
18070.0875,93.41608494507884,-3669.933802329813
18080.1,92.85499773429228,-3667.326532238739
18090.1125,89.24986879512664,-3665.9109733287455
18100.125,92.20928727789102,-3663.6575903235534
18110.1375,92.6361433505964,-3661.101221073276
18120.15,93.41353386201916,-3659.132936009154
18130.1625,93.85032567731425,-3657.752420308108
18140.175,93.03675223094578,-3655.800026292513
18150.1875,93.67326146423518,-3653.6409250026168
18160.2,93.40267153151837,-3651.3797408811656
18170.2125,92.71772731643142,-3649.1223831753055
18180.225,92.33855235844672,-3647.110265836
18190.2375,92.08524734344904,-3645.602264080655
18200.25,91.76143947907744,-3644.9200061440624
18210.2625,92.41568593909896,-3641.498739100826
18220.275,92.07961868428865,-3639.913929215417
18230.2875,92.80361322688844,-3638.26730430026
18240.3,92.63891972502968,-3635.507007804904
18250.3125,92.64244256911422,-3633.0437868402873
18260.325,90.47549327868036,-3631.8749840008313
18270.3375,91.11985395208846,-3628.567894885865
18280.35,92.54746850556702,-3627.90704728074
18290.3625,91.47950904072492,-3626.463832274924
18300.375,89.7612014137432,-3621.854125918256
18310.3875,91.7685989576514,-3621.808434030156
18320.4,91.71907416604633,-3619.972285834922
18330.4125,91.78068435843493,-3617.002934886457
18340.425,91.48461213094454,-3616.801654359836
18350.4375,91.73659336996248,-3614.813664266263
18360.45,93.26590271006634,-3611.9093335219263
18370.4625,91.53747228416854,-3610.086990822104
18380.475,91.175706716615,-3608.8349248299073
18390.4875,91.31227709930594,-3607.841651187464
18400.5,93.7923690562327,-3604.734436748196
18410.5125,92.04762042931011,-3602.320621020224
18420.525,90.72275192881898,-3600.8094855941285
18430.5375,91.98247887251738,-3597.0662684400927
